P,S
내가 쟤를 어떻게 키웠는데 세상에 이런 경우가 어디 있지?,지금의 기분에서 벗어나기 위해 어떻게 해야 할까요?
어떻게 그냥 보고만 있을 수 있지?,어떻게 하면 기분이 나아질까요?
가족들과 지출 문제에 관해 얘기해보려 하는데 어떻게 해야 할지 고민이야.,어떻게 얘기해보면 좋을까요?
그런데 아내가 절대 담보는 안 된다고 하네.,아내는 집을 담보로 사업하는 것을 반대하시는군요.
돈이 없어서 그런 것도 있지만 아무리 그래도 고객인데 그런 시선은 무례하지.,상하신 기분이 나아질 수 있는 방법을 알고 계신가요?
게임을 하면 기분이 조금 나아져.,게임을 하는 것이 어떻게 기분을 좋게 해주나요?
보약도 해주고 병원도 잡아주고 그리해주면 좋겠는데 안하네.,아내분께서 건강에 소홀하셔서 섭섭하시네요.
처음에는 일들을 할 수 있게 되어서 너무 행복했는데 옳지 않은 방법이라는 걸 깨닫게 되고 죄책감이 들었어.,죄책감이 들지 않기 위해서는 어떻게 해야 할까요?
식사자리에서 가게 직원에게 정말 무례하게 대하더라고.,무례함에 눈쌀이 찌푸려지셨겠어요.
퇴직하면 수입이 없고 노후 준비가 안 되어 있어서.,준비가 안 되어 있으면 걱정도 되고 조바심도 나죠.
돈을 제대로 날린 기분이라 기분이 너무 안좋아지네.,하지만 이번일을 계기로 큰 교훈을 얻은거라고 생각해보세요.
그럼요,사과하시는게 좋겠어요
건강이 생각보다 안 좋아.,건강에 고민이 많으시겠어요.
응 내일 가서 날 괴롭히는 애들한테 그러면 안 된다고 따끔하게 얘기할 거야.,네 꼭 성공하시길 응원할께요.
반품 신청도 하고 포장도 다시 해야 해서 너무 번거롭고 화가 나.,어떻게 하는 게 좋은 방법일까요?
집 한 채 사겠다고 청약저축 열심히 넣었지만 당첨 한번 되지 않아서 안 그래도 화나는데 제약들은 뭐가 이렇게 많은 건지.,많이 속상하시겠어요. 
기분이라도 좋게 해주고 싶어.,어떻게 하면 입덧으로 고생하는 아내분의 기분을 좋게 만들 수 있을까요?
밥도 줄이고 운동도 하고있는데 왜 살이 안빠질까?,전문가와 상담해보시는게 어떨까요?
애들이 집에만 있으니까 게을러져서 먹기만 하고 치우질 않아.,어떻게 하면 아이들이 쓰레기를 치우게 할 수 있을까요?
걔랑 안 지 삼십 년 돼서 믿어도 될 줄 알았지.,믿었던 친구에게 배신당해서 상실감이 크시겠어요.
다들 이기적이야.,제 도움이 필요하면 언제든 말해주세요.
빨리 퇴원해서 가족들과 놀러도 가고 맛있는 것도 많이 먹고 싶어.,네 그런 날이 빨리 올 수 있기를 응원할께요.
시험을 못 보진 않아서 합격일 것 같은데 잘 모르겠어.,좋은 결과 나오길 기도할게요.
그 팀장하고 진지하게 술한자 하면서 이야기 나누어 봐야겠어.,좋은생각이네요 그게 좋겠어요.
성공한 사람들은 이미 내 나이에 뭔가 다 이뤄냈는데 난 지금 뭐 하고 있는지 모르겠어.,어떻게 하면 지금의 기분에서 벗어날 수 있을까요?
여자친구가 거짓말을 했어.,무슨 거짓말을 했어요?
많이 갚았다고 생각했는데 아직도 갈 길이 멀어.,이 상황에서 할 수 있는게 어떤 것이 있을까요?
건강하기만 하면 되는데도 많이 바라게 되네.,뭘 바라세요?
많이 친하지도 않고 얼굴은 알아서 인사정도 하는 사이 애매한 사이인거지.,선배가 그냥 지나친 사실을 알고 있으면 회사에서 조금 껄끄러워 지겠어요.
부모님이 날 이해해주고 과하게 간섭을 안하셨음 좋겠어.,어떻게 해야 부모님이 간섭을 줄이실까요?
우리 반에서 일어났어.,어떤 기분이었나요?
그럼 나이들고 혼자 살기 적적해서 같이 살고 싶었는데 기대가 무너졌지.,어떻게하면 마음이 좀 나아질 수 있을까요?
아내와 아이들 교육 문제로 의견이 너무 달라.,아내와 아이들 문제로 갈등이 있으시군요.
일주일 지났는데 세금도 내야하고 불안하네.,사장님께 말씀 해 보셨나요?
말다툼에서 몸싸움까지 되었는데 내가 먼저 친구를 때리고 그친구가 더 다쳤다,서로 참지 못해 싸움이 됐군요
학교폭력이란 보이지 않는 곳에서 하잖아.,그렇네요 취약한것 같아요.
친구들과 업체사람들과의 주말에 약속이 항상 있어서 더 시간이 없어서 어쩔 수 가없어.,운동을 할 시간을 만들려면 어떻게 해야 할까요?
손자가 자꾸 돈을 빼쓰는것 같아.,손자가 성가셨겠어요.
내 공책에 음료수를 쏟고도 사과 안 한 거.,어떻게 하면 사용자님의 기분이 풀리실까요?
일에 몰두해야 하는 상황에 방해되고 상사인 나까지 피해를 보는 것 같아.,이 상황에서 부하 직원에게 어떻게 행동하면 좋을까요?
조금만 더 빨리 도착했다면 뵐 수 있었을 텐데.,조금 더 빨리 도착했다면 뵐 수 있었을까요?
나를 직원이 아니라 하인으로 부려먹는 거 같아.,어떻게 하면 효과적으로 이 상황을 벗어날 수 있을까요?
너무 화가 나서 소리 지르고 욕이라도 하고 싶었지만 복수할 생각으로 참았어.,복수를 위해 화를 참으셨군요.
사고 소식을 들었을 때 얼마나 놀랐는지 남편 걱정에 눈물이 났어.,많이 불안한 상황이신 것 같은데 불안한 감정을 해결할 수 있는 방법이 있을까요?
다니던 회사 퇴직하고 작은 카페 하나 차렸는데 지금 너무 힘들어.,퇴직 후 시작한 카페 사업이 잘 안 되고 있나 보네요.
돈도 없는데 몸도 아프니 살기가 힘드네.,힘드시더라도 제가 옆에서 항상 지켜드릴테니 힘내세요.
난 좋은 직원이고 싶은데 왜 날 자꾸 건드리지.,이유도 모르는 상황에 스트레스가 심하시겠어요.
다른 사람이 나의 가족에게 뭐라고 하니 너무 화가 나.,이럴 때는 어떻게 해야 잘 해결될까요?
한두 번도 아니고 매번 회비를 내지 않고 모임에 나오잖아.,왜 회비를 내지 않는지는 물어보셨나요?
그래도 중요한 부분은 의사 표현을 정확히 해줬으면 하는데 안 해주는 사람이 많으니 답답하다.,중요한 시기에 의사 표현을 정확히 해줬으면 하는군요.
그걸 보고서 구역질도 나면서 한편으로는 저 사람도 어엿한 사회인이 였을텐데 노후 준비를 하지 않아 저렇게 되지 않았을까라고 생각도 들더라고.,노후준비를 제대로 해야하는군요.
뭔가 쉽게 끊어버리는 사람들을 보면 내가 어떻게 해야 할지 모르겠어.,그런 사람들과의 관계를 어떻게 하면 좋을지 좋은 방법이 있을까요?
그렇다기 보단 부상 이후로 내가 성적을 잘 못내고 있기 때문이야.,성적이 부진한게 제일 큰 이유군요.
직장상사라서 거절하기도 힘들어.,직장상사가 기분 나쁘지 않게 거절하려면 어떻게 해야할까요?
허리가 제일 힘들어.,허리가 좋아지시길 빌어요.
무릎 수술비만 내면 될 줄 알았는데 뇌수막염 치료비까지 내라고 해서 돈이 부족해.,이 상황에서 할 수 있는 게 어떤 것이 있을까요?
내가 가진 돈을 잠시 맡겨 둔건데 자기 돈이라고 생각한 것 같기도 해.,이 상황에서 할 수 있는 게 어떤 것이 있을까요?
연말이라고 매일 회식을 한다고 하지만 그래도 너무 늦은 시간까지 들어오지 않으니 걱정도 돼.,어떻게 하면 남편이 좀 더 일찍 집에 들어올 수 있게 할 수 있을까요?
응 내가 당했던 상처를 똑같이 돌려주고 싶어.,어떻게 하고 싶으신가요?
그런 사람들이 안 먹어도 될 약을 권한다거나 하는 경우가 있었던 것 같아.,그럴 때 어떻게 하는 게 도움이 될까요?
오늘 의사 선생님께서 가벼운 외출은 괜찮데.,그거 좋은 소식이네요.
엄마가 말하면 기분이 나빠져서 공부가 하고 싶다가도 안 하게 돼.,그럼 그럴 때 다시 기분이 좋아질 방법은 무엇이 있을까요?
내 옆 사람은 면접 때 실수도 많이 했는데도 합격해서 화가 나.,면접의 결과가 공정하지 않았다고 생각하시는군요.
음. 난 음악을 들어,주로 어떤 음악을 들으세요?
그런데 건강이 많이 안 좋아졌어.,많이 건강이 안 좋으시군요.
나을 수 있다고 하니 열심히 치료를 받고 있긴 한데 비용이 너무 많이 드네.,지금 상황을 해결하는 데 시도해 볼 수 있는 일들은 어떤 것이 있을까요?
나한테 돈을 빌린 친구가 자꾸 말을 바꾸면서 돈을 빌린 적이 없다고 해서 화가 났거든.,이 상황을 극복하기 위해 할 수 있는 일에는 무엇이 있을까요?
하지만 앞으론 미움을 이런 식으로 풀고 싶진 않아.,예전에 불쾌한 감정이 들 땐 어떤 방법으로 푸셨나요?
나이가 들수록 노후준비를 못 해 놓은 게 마음이 조급하고 안달이 나는 것 같아.,지금이라도 노후준비를 할 수 있을까요?
좋은 직장을 들어가기가 너무 어렵네.,제가 듣고 있으니 고민을 편하게 말씀해보세요.
매번 기침을 하더라고.,고민이 많으시겠네요.
나이 먹었다고 다 그런 게 아닌데 어쩜 그렇게 편견을 갖고 대할까?,어떻게 하면 지금 기분이 조금이라도 나아질 수 있을까요?
좋게 마무리되기 바랄게요.,나랑 사귀던 여자친구가 바람이났어.
나이가 들면서 몸이 성한 데가 없어서 슬프고 화가 나.,어떻게 하면 이 상황을 잘 넘길 수 있을까요?
그래 그 많던 돈은 어디에 다 쓰고 있을 때 노후 준비를 해 놨으면 좀 좋았겠나.,그럼 앞으로는 어떻게 하실 생각이세요.
남편은 사업이 망했다고 낙심하고 자리에 누워버려서 아무것도 안 하려고 하니.,이 상황을 변화시키기 위해 무엇을 할 수 있을까요?
오늘 건강검진을 받았어.,결과가 안 좋게 나왔나요?
사람이 너무 많아서 순서가 계속 밀렸어.,순서가 밀려서 불편하셨겠어요.
건조해서 목이 따가우니까 말하기도 힘들고 하니까 답답하구먼.,이 상황을 어떻게 하면 변화시킬 수 있을까요?
집 장만할 때 받은 대출금을 갚으려면 아직 멀었는데 하늘이 무너지는 기분이야.,갚아야 할 대출금이 많으시군요.
그런데도 팀원들은 잘 따라오지 않는 것 같아 더 화가 나.,어떻게 하면 팀원들이 잘 따라올 수 있도록 만들 수 있을까요?
무능한 상사를 치워버리고 이제는 높은 자리에 오른 분들의 특강이 있어야 했어.,무능한 상사 보다 높은 자리에 오른 분들의 지도를 받고 싶어하시는 걸로 들려요.
어떻게든 복수할거야.,제가 항상 응원할게요.
밥 먹을 때 자꾸 잔소리해서 같이 밥 먹는 게 너무 싫어.,아 잔소리 때문에 많이 힘들군요.
건강식만 먹으려하고 꾸준히 운동한다는게 쉬운건 아니더라고.,그러실수도 있겠네요.
앞으로 계획을 세워야겠어.,힘내시고 잘 될거라 믿어요.
아주 간단한 단순 실수인데 나로 인해서 동료에게 피해가 갈까 봐 그게 더 걱정이야.,충분히 이해해요 남들에게 피해 주고 싶지 않은 마음.
결과 보고를 올렸는데 아직도 결과가 안 나오니깐.,결과 보고의 보고가 안 와서 안달하시는군요.
내가 아니라고 몇 번을 말했는데도 내 말을 믿질 않아.,또 다시 아내 분께서 이에 대한 얘기를 하게 되면 어떻게 대처해야 할까요?
밤새워 공부하는 줄 알았는데 몰래 게임만 하고 있었어.,아드님이 공부하지 않아서 화가 나셨군요.
주위에서 다 그리 만에.,귀찮으시겠어요.
날 요양원에 맡겨놓고 한 번도 찾아오질 않아.,자식분들께서 요양원이 안 찾아오셨군요.
아니 나는 밖에 나가서 돈 버느라 힘들어 죽겠는데 자기들은 뭐가 그렇게 불만인 건지 애들과 얘기할 때마다 너무 화가 나더라고.,어떤 부분 때문에 화가 나셨나요?
급하게 목돈이 필요해서 그랬지.,어떻게 하면 목돈을 마련할 수 있을까요?
오전에 각자 맡은 일에 대한 발표를 하기로 했는데 그 자료야.,집에 연락해서 가져다 달라고 부탁하는 건 어때요?
화가 얼마나 나던지 말이 안 나오고 손이 떨리더라고.,화가 많이 나셨었나 봐요.
형이 내가 과제려고 컴퓨터 쓰던 걸 뺏었다고 사실대로 말해야겠지.,그렇군요 그럼 좋은 결과가 있기를 바랄게요.
사소한 것까지 한 번 리스트를 작성해봐야겠어.,리스트를 만들 계획이시군요.
사람을 대하고 관리하는 일이란게 정말 쉽지가 않아.,쉽지 않은 일임에도 불구하고 계속 하고 있다는건 대단한 거라고 생각해요.
참을성이 많이 부족해진거 같아.,참을성이 부족해지셨군요.
다른 사람은 여유가 많아서 쉬면서 일하는데 나는 쉴 시간이 없어.,다른 분과 달리 여유가 없어서 많이 힘드신 것 같아요.
무슨 지원금을 준다고 해서 추석에 좀 행복하겠거니 했더니만 뭐 이만 원을 통신비로 준다고?,지원금 형식이 마음에 차지 않으시는군요.
회식때 사장이 있었거든 그래서 아닌척 내가 싫어하는 팀장이 실수한걸 흘렸어.,싫어하는 팀장에게 복수를 해서 기분이 좋으셨을 것 같아요.
일에 대한 평가는 정직하게 해 줄 줄 알았는데 실망스럽군.,과거에 이런 일이 일어났을 때는 어떻게 하셨어요?
그런건 아닌데 쓸데없는곳에 지출을 많이 하니 그런가봐.,그렇게 돈을 쓴다면 이해가 가요.
우유는 왜 샀냐 샴푸는 왜 이리 비싸냐 끝도 없이 따져.,사소한 부분까지 간섭을 받으시니 스트레스를 받으시겠어요.
내가 가는 게 부담스러워서 그런 건지 왜 못 오게 하는지 답답해서 화가 나.,지금 이 상황에서 어떻게 하는 것이 좋을까요?
나 피곤해서 누워있는데 또 잔소리해.,어떻게 하면 어머니가 잔소리를 안 하실까요?
내가 좋아하는 음식들을 다 먹지 말라고 하니깐 화가 나네 아무리 당뇨예방을 위해서라고 해도 말이야.,좋아하는 음식을 먹지 못하셔서 화가 나시겠어요 당뇨예방과 음식도 먹을 수 있는 좋은 방법이 없을까요?
투정을 너무 부리셔서 화를 냈는데 말을 안하셔.,할아버지가 좋아하시는 음식을 사드리는 건 어떨까요?
내 나름대로 구체적으로 결혼 계획을 세우고 있어서 그 계획을 말씀드리면서 설득하고 있어.,구체적인 결혼 계획을 부모님께 말씀드리며 설득하고 계시는군요.
남편의 태도도 변하고 시댁 식구는 왜 이렇게 많은지.,변해버린 남편의 태도와 많은 시댁 식구 때문에 힘들어하시는군요.
왜 자꾸 학교에서 문제를 일으키는지 모르겠어.,어떻게 하면 지금의 상황을 변화시킬 수 있을까요?
선생님은 정말로 보고도 못 본 척 해 너무 나쁘신 것 같아.,이 상황을 해결하기 위한 방법은 무엇이 있을까요?
회식이 잦으니까 더 힘든 것 같아.,이 상황을 바꾸려면 어떻게 해야 할까요?
어제도 퇴근하고 나서 한참이 지났는데 문자로 업무 지시를 내리셨어.,퇴근하고도 일을 시키시다니 많이 힘드시겠어요.
이력서 여러 군데 넣었고 면접까지 갔는데도 합격한 곳이 없어.,지금은 힘드시겠지만 꾸준히 두드리고 긍정적인 마음을 갖는다면 언젠가 좋은 결과가 있을 거에요.
직장에서 상사가 내 아이디어를 훔쳤어.,상심이 크시겠어요.
내가 독신주의자고 세상에 믿을 건 돈인 것 같아서 악착같이 모았는데 누가 자꾸 남자를 소개해준다고 하는데 그 남자 본인이나 소개하는 사람이나 내 돈을 노리는 것 같아.,전혀 믿음이 가지 않는 상대를 소개하려고 하니 불쾌하셨군요.
그래 힘들게 번 재산을 한번에 날려버릴 수 없잖아.,미리 대비하여 만일에 사태를 대비하는건 좋은 행동이예요.
주위에 만날 사람이 없다는 게 이렇게 힘든지 몰랐어.,많이 힘드신가요.
요즘 회사 분위기가 안 좋아서 미안하지만 딸에게 양해를 구해야 할 것 같아.,회사 사정으로 딸에게 양해를 구하실 생각이시군요.
오빠가 미워서 때려주고 싶었다고.,지금과 같이 오빠를 때리고 싶을 때마다 어떻게 하셨어요?
결과가 나올 때까지는 영화라도 보면서 마음을 비워야겠어. ,좋아하는 영화를 보면서 두려움을 다스리시겠군요. 
원래는 친구와 사이가 좋았었는데 요즘에는 친구가 무슨 말만 해도 나쁘게 생각하게 돼.,어떠한 계기가 있으셨나요?
어떤 대화를 나누어야 할지 참 난감해.,어떤 대화를 할 때가 특히 난감하실까요?
다른 집 아들들은 많이 챙겨 주던데 왜 우리 아들은 나한테 무관심이지?,지금의 기분에서 벗어나기 위해 해볼 수 있는 것은 어떤 게 있을까요?
대학생이면 마음대로 다 될 줄 알았는데 그것도 아니고 재미없는 공부만 해야 하고 이게 무슨 재미없는 인생이야.,어떻게 하면 좀 심심하고 답답한 것들을 덜 느끼도록 할 수 있을까요?
예순인데 만성질환이 심해.,힘내시길 바라요.
난 안중에도 없나 봐.,줄여달라고 부탁해보신적 있나요?
벌써 몇 달째인데 아직도 일이 서툴면 어떡하자는 거야.,어떻게 해야 이 문제가 잘 해결 될 수 있을까요?
처음에는 쌤통이라고 생각했는데 선생님한테 너무 무례하게 한 것 같아서 마음이 불편해.,불편한 마음을 어떻게 해야 할까요?
출산 계획에 대해서 자꾸 재촉하셔서 불안해.,아직 계획이 없으신건가요?
오십대가 되니 나가 레.,정말 그렇게 말했나요.
신중하게 생각한 만큼 마음에 드는 회사에 들어갈 수 있겠네요.,취업한 회사에서 분명히 정규직이라고해서 지원한건데 아닌가봐.
나같이 나이가 있는 사람들은 독감에 민감하기 때문에 조심해야 돼.,어떻게 하면 지금의 상황을 변화시킬 수 있을까요?
입시생들한테 선생님이 그런 말을 한 건 진짜 심했어.,어떻게 하면 화난 기분이 풀릴 수 있을까요?
노인이라 병원에 계속 가야해 너무 성가셔.,병원에 가는게 성가시군요.
도대체 왜 그러는지 알 수가 없어.,어떻게 하면 이유를 알 수 있을까요?
나도 그 회사에 다니고 싶었는데 자격증이 없어서 지원해보지도 못했어.,어떻게 하면 기분이 나아질 수 있을까요?
매번 치과 가기가 두려울 정도야.,병원비를 줄일 수 있는 방법이 있을까요?
왜 모든 문제를 다 나한테 물어봐.,그것 때문에 속상하셨군요.
솔직해야 한다고 생각 하면서도 가식적으로 되버리는 내가 참 어처구니가 없네.,인간은 완벽할수는 없는 거겠죠.
근데 생각해보면 어릴때 나도 그랬던 것 같으니 이해해보려고 해.,네 자녀분들도 일부러 그런건 아닐거예요.
헤어지지는 않았지만 애인의 마음이 떠난 것과 이별이 올 것이 느껴져.,어떻게 하는 게 가장 좋은 방법일까요?
아는 선배는 치킨집을 창업했다가 망해서 퇴직금을 다 날렸다네.,잃지 않는 투자를 하는것이 중요하지요.
아주 버릇없는 녀석이야.,그 후배와 대화는 나누어 보셨나요?
아빠 일 때문에 가고 싶은 대학 포기해야 해.,더 자세히 말씀해주세요.
힘들게 일해서 돈을 모았다 생각하면 꼭 큰일이 생겨서 돈이 다 나가니까 돈 모으는게 싫어.,속상하시겠어요 힘내세요.
어떻게 해결 방법이 없을까?,동생이랑 대화를 해보셨나요?
의견들이 엇갈리는데 이미 결혼식장도 예약이 다 되어 있고 해서 많은 부분이 혼란스러워.,그렇다면 조심히 진행하시는 쪽으로 결정을 하신건가요?
남편과 좋아서 연애하고 결혼하고 아기까지 낳았는데 나혼자서 육아를 하는게 참 지민다.,육아가 힘든걸 남편과 얘기해보시는게 어때요?
나를 애 맡아주는 사람으로 보는 것 같아서 열이 받아.,육아를 먼저 겪은 사람으로써 육아의 중요성을 알려주는게 어때요?
건강관리를 잘 했는데도 만성질환에 시달리거든.,연세가 어떻게 되세요?
그니까 남들한테 보일 때만 잘해주는 척하고 나와 둘이 있을 땐 맨날 구박하니까 너무 화가 나.,화를 풀려면 어떤 행동을 취해야 할까요?
연애도 못하니까 주변에서 안쓰럽고 가여워보이나봐,자신을 불만족스럽게 느끼시는 데에는 타인의 시선이 영향을 미치고 있네요. 
당연하지. 아플때 혜택 받으려고  보험을 드는건데,그럼요. 그래서 어려워도 보험료는 꼬박꼬박 납부하는거죠
처음에는 안 친해서 시켜도 괜찮을 거라고 생각했는데 지금은 그 친구를 힘들게 한 것 같아서 미안해.,그 친구에게 미안하지 않으려면 어떻게 해야 할까요?
회사 동료가 나에 대한 얘기를 뒷담화를 했다는 걸 들었거든.,속상하셨겠어요!
누나가 매형과 싸운 이야기를 해줬는데 좀 폭력적인 것 같았어.,이 상황에서 할 수 있는 게 어떤 것이 있을까요?
혼자 인것도 서러운데 간호사가 아픈 환자에게 이렇게 해도 되는거야,그러니까요 그 간호사가 잘못하고 있는거 같아요
거의 쌀밥을 먹지.,잡곡은 어떤 걸 제일 먹기 힘들어하나요?
맨날 야근시키고 일은 많고 몸이 망가지는 느낌이야.,어떻게 해야 할까요?
내 옷을 마음대로 입고 나가면 나도 화가 난다고 말하고 앞으로는 꼭 허락을 받으라고 하고 싶어.,뜻이 잘 전달되길 바랍니다.
직업전문학교라도 보낼 준비를 할려고 해.,그거 좋은 생각 같아요.
아니야 나보다 친구의 능력이 더 좋은건 사실이니까.,친구분의 능력하고 본인의 능력이 많이 차이난다고 생각하는 건가요?
나 때문에 아이들이 학교에 늦을까 봐 양보하는 건데 화나.,이 상황을 어떻게 해결하면 좋을까요?
밀려들어온 임대료 정리하기가 너무 귀찮아.,임대료 정리가 귀찮다니 어떡해야 할까요?
지방으로 발령이 났어.,어떻게 해결할 방법 없을까요?
내 건강은 내가 알아서 얼마나 잘 챙기는데.,스스로 건강을 챙기는데 자꾸 잔소리하시는게 싫으신거군요.
내 재정상태는 어떻게 알고 접근을 했는지 모르겠는데 곤란하네.,그 사람들에게 뭐라고 이야기 하고 싶으세요?
나를 자꾸 감시하려고 하시고 통제하려고 하셔서 갈등이 생기게 되었어.,부모님의 감시와 통제로부터 벗어날 방법에는 무엇이 있을까요?
내가 돈 없어서 골프 못 다니는 걸 뻔히 다 알면서 그러는 게 너무 마음에 안 들어.,어떻게 하면 이 상황을 이겨낼 수 있을까요?
세상에 믿을 남자가 없는 것 같은 느낌이 들고 마음이 너무 힘들고 괴로워.,많이 힘드시겠지만 감정을 잘 추스르시고 마음의 평온을 찾으시길 바랄게요.
살이 안 빠지니 운동할 맛도 안 나네.,살이 빠지지 않아 운동하고 싶지 않으시군요.
뼈 빠지게 가정을 위해서 일해도 수고했다 말 한마디 없었거든.,아주 속상하셨군요.
오랜 세월 동안 내 유일한 낙이었는데 아픈 것도 모자라서 기쁨도 빼앗기다니 너무 화가 나.,어떻게 하면 이 기분이 나아질 수 있을까요?
"불합리한 요구나, 명령을 받을 때마다 불합리함을 설명하지만, 통하지 않아 채 일해야 하고, 좋은 결과가 나오지 않을 때마다 책임을 감수해야 하니 스트레스를 받게 되는 것 같아.","많이 힘드시겠네요, 불합리한 요구나, 명령들에 대한 불합리함을 설득하기 위해 설명하는 것 외에 다른 방법을 생각하신 게 있나요?"
알고는 있지만 자꾸 떨어지니까 짜증 나서.,어떻게 하면 짜증이 덜할까요?
너무 화가 나서 참을수가 없어.,어떻게 해결하면 좋을까요?
돈벌어 온다고 집에 오면 위세가 심해.,남편 혼자 외벌이 인가요?
근데 사실 그 시세보다 더 큰 차익을 봐야하는데 뭔가 꼼수가 없을까.,더 큰 시세차익을 생각하시나보네요.
나 역시 그런 생각을 가지고 미루게 되는 것 같아.,결혼에 대해 깊이 생각해본 적은 있나요?
남자가 취업에 유리한 것만 같아.,그렇게 생각하시는 이유가 있을까요?
왜 아내한테만 힘든 일이 일어나는 걸까 생각하니 자꾸 눈물이 나.,예전에 힘든 일이 있을 때 어떻게 대처하셨어요?
건망증이 심해지셨다고 우리보고 자기 걱정 좀 하라는 거 같아.,어떻게 해 드려야 하는 거예요?
용돈을 안 주니깐 슬쩍 훔쳐야겠어.,좋은 생각일지 모르겠어요.
위에 염증이 많아서 술을 줄여야 한대.,위 건강 상 술을 줄여야 되는군요
응응 그럴땐 방어적으로 답이 나오더라고.,그럴수 있죠.
내 속에서 분노가 치밀어 오르더라고.,힘든 마음이셨겠어요.
어제 남자친구랑 헤어졌어.,남자친구랑 헤어지셨군요.
그건 아는데 나는 그렇게 내키지 않아.,가족들이 서운해 할 것 같아요.
조건이 좋은 일자리를 구하고 있어.,조건이 좋은 일자리를 구하고 있군요.
노후 준비 때문에 이야기하다가 다들 투자 성향이 공격적인데 나는 반대로 방어적이라는 걸 느꼈지.,공격적 투자 성향이 아니고 방어적 투자 성향을 지니셨네요.
아내와 대화가 안통해.,다툼이 있으셨나봐요.
근데 너무 짜증나.,왜그리 짜증나시나요.
난 여자친구 봐야하는데 자꾸 같은날에 약속 잡잖아.,마음이 불편하시겠어요.
그냥 아무 이유도 없이 화가 나.,어떻게 해야 기분이 풀릴까요?
이제 늙어서 쉬엄쉬엄 여행하는 게 좋은데 지금 계획은 너무 젊은 취향이야.,이 상황에서 할 수 있는 게 어떤 것이 있을까요?
나도 보지는 않아서 자세히는 알지 못하는데 누군가가 몇동 몇호 사람을 나쁘게 말을 했나봐 근데 그게 너무 악의적이라서 본인이 보면 상처를 엄청 받을 정도야,그러게요 요즘 악의적인 악플러들이 많은거 같아서 걱정이에요
항상 결재를 올려도 컴플레인만 거니깐 말이야.,어떻게 하시는게 좋을까요?
아직 중년인데 몸에만 좋다고 하면 이것저것 아무거나 다 먹어.,그런 모습이 구역질 나시는군요.
얼마나 인수인계를 제대로 안 해줬는지 뒤엎고 싶은 기분이야.,지금 상황을 해결하기 위해 할 수 있는 일은 무엇이 있을까요?
원래 주말에 오랜만에 가족여행가려고 했거든.,가족여행을 가려면 어떻게 해야할까요?
소리도 못 지르고 매일 당하고만 사니까 너무 무기력해.,지금의 기분에서 벗어나기 위해 무언가 할 수 있는 것은 있을까요?
우리는 수업이 듣고 싶은 거지 다른 이야기를 들으려고 온 게 아니니까.,어떻게 하면 선생님께서 수업을 열심히 해주실까요?
남편이 주식으로 크게 망한 적이 있어서 안 하려고.,주식 투자에 방어적이시군요.
옷을 팔고 있어.,수입이 적절하지 못한가요?
영수에게 가서 따져야 겠어.,모쪼록 일이 잘 해결되길 바랄게요.
좀 뚱뚱한 편이라는 건 알았지만 의학적으로도 비만군에 들 줄은 미처 몰랐어. ,지금의 좌절한 상태에서 벗어나기 위해 무엇을 할 수 있을까요?
돈 아깝게 이런 걸 왜 사오는 건지.,그럼 어떤 선물이 좋으신가요?
지금 생각해보니까 차라리 전단지를 받지 말걸 그랬어.,전단지를 받지 않는 것이 제일 좋은 선택일까요?
약을 먹는 거 보고 걱정 되는지 무슨 약인지 끈질기게 묻는데 탈모라서 알려주기 싫은데 자꾸 물어봐.,답해주기 싫은 질문을 계속 물어봐서 짜증이 나시는군요.
언니가 걱정하는 건지 사사건건 참견하는 건지 알수가 없어.,언니분이 동생을 걱정하는 마음에 참견하는 것이 아닐까요?
나도 모르게 몸이 아프니 악의적인 행동들이 나오네.,지금의 감정에서 벗어나기 위해 어떻게 하면 좋을까요?
그냥 안 먹도록 내버려 둘 수도 없고 곤란하네.,어떻게 하면 지금의 상황을 변화시킬 수 있을까요?
틈만 나면 옆에 와서 괴롭히는 통에 아무것도 할 수가 없어.,그럼 정말 성가시겠군요.
운동은 꾸준히 하는데 오히려 몸무게가 늘어 나네.,운동말고 체중감량을 위해 어떤 방법이 있을까요?
더 방관할 수 없으니 담당업무에 대한 교육을 엄격하게 다시 해야겠어.,신입사원 담당업무 재교육 이후에는 스트레스에서 해방되시길 바라요.
예순이 넘으니 사람 만나기도 귀찮아서.,아픈 곳이 있나요?
체력이 많이 떨어졌어.,체력적인 고민이 많으시겠어요.
아이가 어릴 땐 주말마다 시간을 같이 보냈는데.,시간을 같이 보냈던 좋았던 추억이 있으실까요?
자기 일을 나에게 떠넘기는 것 같아서 너무 화가 나네.,어떻게 된 일인지 말씀해 주시겠어요?
잘 모르는 사람이 친절하게 대하면 무슨 일인지부터 생각하게 되는 버릇이 생긴 것 같아.,모르는 사람의 친절함을 의심하게 되나 봐요.
나도 친구들처럼 맛있는 거 먹었다고 자랑하고 싶은데.,이 상황을 변화시키기 위해 무엇을 할 수 있을까요?
그런 친구시면 연락피하시는게 좋겠어요.,친구사귀는게 왜 이렇게 어려울까?
뭘 잘하는지도 모르겠어.,어떤 게 하고 싶으세요?
툭하면 말싸움을 하니까 집에 있으면 가족들이 너무 너무 미워.,많이 속상하시겠어요 기운 내세요.
