P,S
솔직히 마무리할 준비를 하려고 생각도 했는데 다시 새롭게 태어난 기분이야.,다시 태어난 기분이라니 정말 기쁘시겠어요!
너무 기쁘고 감사하지!,원하던 직장에 합격하셨으니 정말 기쁘겠어요.
이젠 계단을 오를 때도 거뜬해.,무릎수술 후 또 하고 싶은 것이 있었나요?
나 혼자는 해결될 거 같지 않던 일들이 형이랑 누나와 얘기를 하는 것 만으로도 기분이 풀어져.,그런 형과 누나가 있어서 좋으시겠어요.
잡 생각도 없애고 건강도 좋아져서 기뻐.,건강도 얻고 걱정도 덜으셨겠어요.
일도 잘하고 저와 잘 통하는 사람이라 같이 하면 좋을 것 같아.,동료에 대한 신뢰가 깊으신가 봐요.
아픈 곳도 없고 말야.,연세가 어떻게 되세요?
그 애한테는 미안하지만 난 너무 오래 힘들었어.,앞으로 어떻게 하고 싶으세요?
오랜만에 만나서 그런지 너무 반갑기도하고 좋더라고.,친구관계가 완만하신가보군요 좋은일이에요.
오랜만에 친구가생겨서 너무 좋아.,친구와 함께 재미난시간보내세요.
매일 실수하고 혼나는 게 일이었는데 이제 제법 능숙해졌어.,시간이 지나면서 일에 익숙해지셔서 전보다 자신감이 생기셨나 보군요.
힘들었는데 부모님께 솔직하게 털어놓고 나니 마음이 편안해졌어.,부모님께 털어놓아 마음이 편해지셨군요.
결혼전에는 좀 불안한 마음도 있었거든.,결혼전에는 마음이 불안하셨었군요?
노후에는 항상 매일이 여유로울 거라고 믿고 있으니까.,그 매일이 여유롭기 위해서 생각해두신 계획이라도 있으신가요?
그 대학에 가고 싶어서 얼마나 공부를 열심히 했는지 몰라.,열심히 공부해서 이룬 결과라 기쁨을 나누고 싶은 분들이 주위에 많았으면 좋겠네요.
처음으로 같이 가는 여행이야.,좋은 추억 만드시길 바랄게요.
내가 한 달 동안 이 프로젝트에만 전념했거든.,준비를 많이 했던 프로젝트라서 확신이 드시나 봐요.
꾸준히 운동하고 건강식품을 챙겨서 먹은 덕을 본 것 같아,꾸준한 관리로 몸관리에 자부심을 가지고 계신가 봐요.
뭐든 처음이라 신기하기도 하고 어떻게 하면 도움이 되는 사람이 될까 생각이 많았던 것 같아.,첫 직장에서 도움 되는 사람이 되기 위해서 생각을 많이 했나 보군요.
요즘 취업 준비생이 너무 많아서 걱정했는데 단번에 원하는 회사에 입사를 해서 너무 대견해.,코로나에 너무 어려운데 자녀분도 너무 기쁘겠어요.
회사에 있으면 여러 사람과 같이 있다 보니 불편한 점이 많았거든.,많은 사람과 한 공간에서 일을 하면서 많이 불편하였겠어요.
한 번 대상으로 찍혀버리면 그 후에는 빠져나올 수 없으니까.,어떻게 이번에는 따돌림의 대상이 되지 않았다고 생각하나요?
엄마와 대화를 많이 할 수 있다니 정말 기뻐.,기쁜 상황이 군요.
걱정을 많이 했는데 결과가 너무 좋게 나왔어.,결과가 좋으셨다니 정말 다행이에요.
방학 동안은 괴롭힘 당하거나 피해서 도망 다닐 일 없이 느긋하게 지낼 수 있어서 좋아.,방학 동안에는 느긋하게 지낼 수 있어서 다행이네요.
너무 좋은 사람들이 곁에 있어서 다행이야.,좋은 분들이 이웃이셔서 행복하시겠어요.
엄청 건강해서 그런가봐.,정말 부러워요.
예전보다 확실히 건강해진 것 같아.,따로 관리한 게 있으신가요?
어제 건강검진 결과가 나왔는데 아무 이상이 없다고 나왔더라고 그래서 기분이 정말 만족스러워.,네 저도 당신과 비슷한 마음이에요.
꼬마가 다시는 아프지 않았으면 좋겠어.,꼬마가 다시 아프지 않기 위해 해줄 수 있는 것이 있을까요?
내가 당뇨가 있는데 그걸 위해서 신경 써주는 게 고맙고 행복해.,당뇨로 식단을 맞추는 일도 신경 쓰일 텐데 기분이 좋으시겠어요.
하지만 다음에 배울 수학 문제들이 어려워서 고민이야.,예전에 이런 일이 있을 때엔 어떻게 하셨어요?
칭찬을 받으니 회사 가는 일이 즐겁고 아침에 일어나는 것도 피곤하지 않고 신나.,회사를 가는 것이 즐겁다니 너무 좋아 보여요.
그렇지 않지만 다같이 모이려고 노력하고 있어.,가족 모두 노력하는 모습이 부럽네요.
내가 진심을 얘기했거든.,얘기하니까 들어주던가요?
내가 지금까지 일을 잘 해왔다는 사실에 너무 기뻐.,정년 후에는 어떻게 살고 싶으세요?
친구와 함께 학교생활을 할 생각에 너무 흥분돼.,친구와 함께 학교생활을 할 생각에 흥분되시는군요.
나한테 말 한마디 없이 그 큰돈을 마음대로 빌려줬어.,남편에게 무시당한 기분이 들었겠어요.
부서원들의 협력이 없었다면 불가능했을거야,부서원들과의 협력은 어떻게 이루셨나요?
건강 문제는 최선의 노력을 다하고 있으니 아직은 죽을 정도는 아니라고 생각하지요. ,죽음에 대해서도 순리에 따른다는 여유가 있으시니 낙천적인 성격이신 것 같군요. 
수술비를 내고 나서도 충분히 많이 남아.,그거 정말 다행이네요.
미리 저축을 해 뒀거든.,노후준비에 신뢰감이 드나봐요.
그래도 내가 맡은 일은 언제나 잘 마무리하지.,아아 그러시군요.
다음 시험에는 내가 꼭 이길 거야.,다음 시험에서 이기려면 어떤 방식으로 공부하는 것이 좋을까요?
일단 가족들과 해외여행을 가야겠어.,가족들도 좋아하실 거 같아요.
어떻게 하면 나의 감사한 마음을 부모님께 전달할 수 있을까?,부모님께서 평소에 좋아하시는 것이 있나요?
너무 행복한 이 상황을 유지하고 싶어.,어떻게 하면 그 행복이 유지될 수 있을까요?
멋있다니 친구가 잘 되었는데 당연히 기뻐해야 하는 것 아냐?,친구를 축하해주는 것을 당연하다고 생각하시는군요. 
그래도 이번 일만 끝나면 가족들과 여행 가기로 해서 너무 좋아.,가족들 생각하면 힘이 나시겠어요.
노후 대비를 많이 해놨다고 생각했는데 아니었나봐.,노후를 위해 생각해놓은 다른 방법이 있으세요?
가장 기쁜 일까지는 아니지만 정말 조금 더 있었으면 이 인간 퇴직 전에 내가 퇴직하려고 했어.,팀원 괴롭히는 부서장 밑에서 버티고 일하기 쉽지 않은데 정말 잘 견디면서 직장생활 하셨네요.
열심히 노력해 준 딸이 기특해서 뭔가 해 주고 싶어.,어떻게 하면 엄마의 마음을 전달할 수 있을까요?
우리가 계획한 프로젝트가 선정되어서 좋은 일이 있을 것 같아요.,무슨 좋은 일인가요?
가해자들이 나에게 복수를 하면 어쩌나 두려워,두려운 마음이 들수도 있겠어요. 선생님과 진지하게 상의해보세요
난 요즘에 마음이 느긋해졌어.,왜 느긋해지신지 물어봐도 될까요?
아들도 직장 다니느라 힘들 텐데 도와주어 고마워.,가족들이 도와줘서 좋으시겠어요.
다음에도 또 한 번 갔으면 좋겠어.,다음번에는 어디를 가고 싶으세요?
나이가 들어서도 나의 진가를 알아주나 싶어서 기분이 많이 좋네.,프로젝트를 잘 진행하기 위해 어떻게 하실 계획이에요?
내 편이 생기고 내 집이 생기고 어딜 가서든 내가 돌아올 곳이 있는 지금이 참 좋아.,지금이 정말 행복하실 것 같아요. 
근데 요즘 주변 사람들이 아픈 걸 많이 봐서 그런지 나도 언제 아플지 몰라서 불안해.,현재의 불안함을 해소하기 위해서 사용자님이 할 수 있는 일은 무엇이 있을까요?
남편이 그 전에 했던 사업을 잘했어서 믿고 시작할 수 있을 것 같아.,남편을 많이 신뢰하시는군요 앞으로 잘 될 거예요.
교통도 좋고 환경도 좋아서 가족이 좋아할 거야.,가족분들도 좋아하신다니 다행이네요.
어려운 상황을 이해해 주시고 세입자를 위해 큰 결정을 해주셔서 고마워.,고마운 마음을 표현할 방법은 없을까요?
은퇴후에 여행을 다녀오니까 감회가 새롭더라,모든일을 마치고 누리는 행복은 어때요?
다음에도 같이 갈 수 있으면 좋겠어.,다시 한 번 가족과 함께 찜질방에 가려면 어떻게 해야 할까요?
두 달 전에 아버지가 돌아가시고 엄마 혼자 계시게 되었는데 그 후로 매일 엄마랑 통화를 했더라고 어제 엄마랑 통화 하다가 알게 되었지.,남편이 평소에도 어머니랑 자주 통화하셨나봐요?
졸음 한다 생각하니 엄마에게 감사해.,어째서 엄마에게 감사 하나요.
운동도 더 하고 몸 관리도 잘 해서 건강히 살거야.,꾸준히 건강을 위해 관리를 하기로 마음먹으셨군요.
동생이 숙제를 안 하고 노니까 엄마가 꾸중을 냈어.,이 상황에서 할 수 있는 일이 있을까요?
오늘 매출이 많이 올라서 너무 뿌듯해.,행복하시겠어요.
힘든 일이 있을때마다 친구들이 먼저 손을 내일어주거든.,그런 친구들이 있다니 참 다행이네요.
예전에 들어 놓은 보험에서 특약 사항에 해당이 되어 진단비를 크게 보상받았거든.,아픈건 속상한 일이지만 재정적으로 보상을 받아 위로가 되셨겠어요.
아내도 힘들고 나도 힘들었는데 이제 서로 힘들지 않으니 날아갈 거 같아.,이제 투병생활이 끝나셨으니 여행도 다니시고 재미있게 지내세요.
내가 좋아하는 친구랑 친해졌어.,정말 부러워요.
그래도 끝까지 남아서 자세히 알려주신 덕분에 잘 마무리 지을수 있었어.,잘 마무리 지을수 있으셔서 다행이에요.
건강을 못 챙겼더니 결과가 안 좋더라고.,꼭 그 생각이 옳기를 바래요.
요요현상이 일어나지 않게 하려면 지금 방법을 유지 하는게 좋겠지?,지금 어떤 방법으로 다이어트를 하고 계신가요?
주변에서 아프다는 말을 들으면 그래도 나는 다행이라고 생각해.,평소에 관리를 잘하고 계셔서 그럴 거예요.
아주 중요한 서류야.,잘 해내실거예요.
요새 싸우지 않아.,정말 부러워요.
맞는 말이야.,아버지의 조언 덕분에 아버지와 유대감이 깊어지는 기분이 드나요?
우리 아들이 밤낮을 병원에 다니며 아이를 챙겼어.,고생한 아들에게 어떤 말을 해주면 좋을까요?
회사에 감사를 보답하는 마음으로 열심히 다닐 거야.,좋은 직원을 둬서 사장님이 좋아하시겠어요.
이런 사소한 일들이 큰 행복을 가져다줄지 몰랐어.,가족의 행복이라는게 느껴지네요.
응 그래서 대화를 시도해보려고.,그래도 자신감이 있어서 좋네요.
맞아 텃밭 가꾸는 일이 힘들긴 하지만.,어떻게 하면 시골 생활에 빨리 적응할 수 있을까요?
돈이 있으면 안정되고 자신감이 생기는 것같아.,돈이 안정감과 자신감을 주는군요.
직접 만든 음식을 대접해드리고 싶어.,직접 만든 음식을 좋아하시면 좋겠네요.
그럼 내가 친구들 사이에서 얼마나 잘 나가는데.,정말 멋저요.
아내가 나에게 애정표현을 참 잘해줘.,아내의 애정표현이 기쁘시겠어요.
아직 젊은 편이라 급하게 할 필요 없이 좀 더 즐겨도 될 것 같아.,여유로운 태도가 멋지시네요.
당연하지 몸과 맘이 편안한 상태가 건강에 더할 나위 없이 좋은 환경이지.,그 편안함을 추구하기 위해서 무엇을 하실 건가요?
스트레스를 받을 때마다 늘 그 동료가 위로해 주는데 항상 고마워.,스트레스를 공감해주는 동료가 있다는 것은 기쁜 일 인 것 같아요.
아내가 자연을 좋아해서 계곡으로 갈 예정이야.,가족들과 좋은 추억을 쌓고 오시길 바래요.
든든한 친구들이 있어서 다행이야,든든한 친구들 때문에 무서울것이 없었겠네요
다같이 대화를 할 시간이 있어서 서로를 많이 알게 되었어.,더욱더 친하고 밝은 교실안이 되길 바랄깨요.
지난 달 취업해서 첫 번째 월급을 탔거든.,첫 월급을 타셨다니 정말 축하 드려요.
춤추고 노래를 불렀는데 대상을 받았지 뭐야!,정말 축하드려요.
이제 상처를 받지 않고 서로 편안하고 자유로운 관계의 친구 사이가 될 수 있을 것 같아,친구와 편안하고 자유로운 관계를 바라시는군요.
이젠 대화가 잘 통해.,만족스러워서 다행이에요.
"잠을 못 자고, 기분이 오락가락하면서 괜히 눈물이 난대.",아직 갱년기 증상이 없으세요?
지금 돈을 아껴야 노후가 편안해지니까 그걸로 만족해.,노후대책을 잘하시고 계시네요.
예쁜 풍경들을 많이 보다 보니 요새 정말 행복해.,어떻게 하면 지금의 기분을 만끽할 수 있을까요?
워낙 잘하는 애니까 평소대로만 하면 될거같아.,따님이 우등생인가 보네요.
너무 신이 나서 이곳 저곳을 여행하고 쇼핑을 했어.,좋아서 쇼핑도 하고 많이 돌아다녔군요.
급식실에 혼자 가기 싫어서 항상 매점에 갔는데 너무 잘 됐어.,급식실에 혼자 가지 않아도 돼서 좋으시겠어요.
응 여자친구와 함께여서 더욱 행복했어,여자친구분도 오늘 정말 행복해 하셨겠어요
이대로 가면 원하는 기업에도 합격할 수 있을 것 같아.,좋은 마음가짐이네요. 
항상 내 안부를 묻고 나를 챙겨 주려고 하는 사람들이 많아 너무 감사해.,주위에 좋은 분들을 많이 두셔서 좋으시겠어요.
내가 없는 곳에서도 욕을 하지 않는다고 들어서 나도 신뢰를 보여주고 싶거든.,어떤 방법으로 신뢰를 보여줘야 한다고 생각하시나요?
친구가 좋아하니까 나도 기분이 좋아졌어.,이심전심이네요. 
의사 선생님이 말하길 노화를 막아주고 건강하게 사는 데 도움이 된다고 합니다.,의사 선생님을 무척 신뢰하시는군요.
엄마 아빠가 그동안 많이 싸웠어.,부모님 간에 갈등이 있었나 보군요.
친구에게 너무 고마워 보답을 해주고 싶어.,어떻게 보답해드리는 것이 좋을까요?
이 기세를 이어서 다음 시험에서도 쟤를 점수로 이기고 싶어.,다음 시험에서도 점수를 잘 받으려면 어떻게 해야 할까요?
작년에는 자습시간에 애들이 너무 떠들었는데 이번에는 조용해서 좋아.,자습시간에 조용한 반이라서 공부가 더 잘 되겠어요.
이 정도면 만족하지 뭐.,앞으로 어떻게 지내실건가요?
이런 사람을 만나는 것 자체가 행운 같아.,좋은 남자친구분과 계속 인연을 이어나가려면 어떻게 하셔야할까요?
그 이야기를 들었을 때 너무 신이 나서 방방 뛰었어.,그 정도로 신이 나는 일이 였군요.
너무 설레고 흥분돼서 잠을 못 이루겠어.,내일 좋은 시간을 보내셨으면 좋겠네요.
내 능력을 검증받은 기분이야.,능력을 인정받는다는 것은 쉽지 않은 일인데 대단하시네요.
나보다 나이는 어린데 마음 씀씀이가 넓고 이해와 공감을 잘 해줘서 좋아.,상대방이 편안하고 안정된 마음을 갖게 해 주는 능력이 있으시네요. 
아니 정말 천만다행인게 잘못해서 머리쪽으로 충돌했으면 위험했을거라고 하더라고.,그럼 머리쪽이 아닌 생명에 지장없는 쪽으로 부딪히셨나봐요?
우리 가족만큼 따뜻한 가족도 없는 것 같아.,그런 좋은 가정을 유지하는 방법은 무엇이 있을까요?
예순이 넘어서 다시 만날 줄이야.,건강은 어떠세요?
앞으로도 신뢰를 잃지 않도록 더 노력할 거야,부모님에게 받은 신뢰를 잃지 않도록 노력을 하시는군요.
이제 점점 직장에서도 연차도 쌓이고 목표한 거는 충분히 이룬 것 같아.,정말 행복한 인생 이네요.
의사선생님이 수술만 하면 괜찮을거래.,정말 다행이네요.
그동안의 고생도 이제는 끝이야.,축하드려요 좋은 일들만 생기길 바래요.
얼른 나아서 농사 마무리를 열심히 해야겠다.,어떻게 하면 호전이 빨라질 수 있을까요?
이 시간을 나를 좀 더 개발하는데 쓰고싶어.,자기 개발의 시간을 갖는것도 정말 좋은 생각인것 같아요.
둘레길을 도는데 공기가 너무 좋아.,가까이 둘레길이 있어 조깅하기 좋으시군요.
이번 결혼식에 많은 분이 와주셔서 정말 감사해.,결혼하니 어떤 점이 좋으신가요?
사람을 괴롭힌다는게 싫어서 그래.,정말로 좋으신 분이시네요.
불합격될까봐 많이 걱정했었거든.,걱정하셨다니 지금은 많이 안도가 되시겠네요.
이런 만족감을 여자친구도 느낄까?,당연히 그럴 거예요.
트러블이 너무 자주 생겨서 치료를 받으러 다녔어.,그럼 다시 건강한 피부를 되찾으신거에요?
나온 수치들이 너무 좋아.,정말 다행이에요.
열심히 한 만큼 잘 끝낼 수 있겠지 뭐.,좋은 결과가 있을 거예요.
어떤선물을 받으셨어요?,예전부터 내가 갖고싶었던 악세사리를 받아서 너무 기분이 좋아.
약속 시각을 내가 잘 못 알고 가서 늦게 도착했다고 이야기했어.,대화로 오해를 잘 풀어서 다행이에요.
오랜만에 보는 거라 더욱 기대돼.,친구분들을 만나실 기대가 크시겠어요.
노환으로 당뇨 합병증이 왔어.,그럼 심각한 상황이 군요.
실제로도 내가 현장에서 힘쓰는 일은 아주 가뿐하게 해내고 있어서 기뻐.,지금의 기분을 계속 유지하기 위한 비결은 어떤 것이 있을까요?
그래서 앞으로는 사람들에게 내 경험을 조언해주면 살아갸아겠어.,무엇을 조언하고 싶으신가요?
입원 하고 있을 동안 못 했던 것들을 지금 다 해보고 싶어.,어떤 것을 가장 먼저 하고 싶나요?
은퇴 전 남편과 함께 시간을 보냈으면 좋겠어.,함께 시간을 보낼 수 있는 일이 무엇이 있을까요?
남편이 많이 이해해주고 참아주고 했지.,좋은 남편이시네요.
장어를 꾸준히 먹고 나서부터 체력이 부쩍 좋아진 게 느껴져서 기분이 좋아.,체력을 기르는데 또 어떤 것들을 하면 좋을까요?
이달의 우수사원으로 뽑혀 상을 받게 됐어!,정말 기쁘시겠어요!
지금 너무 기분이 좋아.,기분이 좋으신 이유가 무엇인가요?
어려서부터 건강한 식단을 했고 꾸준히 운동도 하며 지내왔거든.,좋은 음식과 운동은 건강을 위해서 좋은 선택인 것 같아요.
내가 집단 폭력과 따돌림을 당할 때 목격했던 그 친구가 학교폭력위원회에서 증언해준대.,친구의 도움을 받을 수 있어서 다행이네요.
틈만 나면 싸웠거든.,그래도 잘 해결된 편인가봐요.
정말 감사할따름이야.,제가 항상 응원할게요.
아이디어 회의를 할 때 내가 특히 빛나는 것 같아.,와 굉장히 창의적이신가 봐요.
너무 고마워서 보자기에 있던 과일을 좀 주려고 했는데 괜찮다고 가버리더라고.,그 상황에서 할 수 있는 것들은 또 어떤 게 있었을까요?
오랜만에 갈비를 먹으러 갔어 엄마아빠 모두 다 같이 가서 마음이 너무 편했어.,오랜만이라 더 기분이 좋으셨나보네요 자주 그런 자리가 생기면 좋겠어요.
책임자는 교사의 입장에서 위로를 해줘야지.,책임자가 교사의 입장에서 위로해주지 않는군요.
이제 여자 친구에게 더 잘해주려고 노력중이야.,어떻게 하면 여자 친구에게 잘해줄 수 있을까요?
외환위기 때 높은 금리로 가입했던 적금인데 돈이 궁해서 해지할 뻔했었어.,해지를 안 하고 지금까지 유지해서 다행이네요.
젊은 나이에 질병으로 가족을 잃었던 경험이 있어 나 역시 질환을 얻게 될까 봐 보험을 든든하게 들어두었던 게 다행이지 뭐야.,그래서 안심이 되는군요.
꾸준히 적금을 듣거 같아.,정말 부러워요.
예쁜 화초를 많이 심고 싶어.,화초 많이 심으시면서 기분도 좋아지길 바랄게요.
응 이제 더 일할 의욕이 생길 것 같아,사용자님의 능력이 뛰어나니 사장님이 당신의 능력을 인정해주신거예요
응 이젠 정말 좋아진 건강을 관리 잘하고 그러야겠어.,네 선생님 건강관리 잘하시길 바래요
다들 병원에 치료받으러 가고 약을 달고 사는데 난 그런 증상이 하나도 없거든.,지금 보다 더 건강해지려면 어떤 것에 초점을 맞춰야 할까요?
맞아 항상 내 의견을 묵살하던 상사가있었는데 저번달에 정년퇴직했거든.,의견을 묵살하다니 그동안 너무 속상하셨겠어요.
아는 사람이 주식을 하는데 그분에게 오천만 원을 맡겼더니 오천만 원이 수익이 났어.,그 돈으로 무엇을 하실 건가요?
남편한테 고맙다고 전하고 싶어.,어떻게 하면 고마운 마음을 잘 전할 수 있을까요?
세상에서 엄마를 제일 믿어.,엄마가 좋아 시겠군요.
맞아 사실 아버님이 사장님이셔서 낙하산이라 비난받을까봐 걱정을 많이했거든.,엄청 노력하셨겠어요.
지금도 비가 오는걸 보니 아내가 나와 있을 거야.,그런 아내에게 할 수 있는 게 무엇이 있을까요?
솔직하게 친구에게 사죄하면 받아줄까?,친구 분에게 용기 내서 진심으로 사과해보세요!
응 지금 이 나이에 아픈 곳 없고 돈 걱정없이 살 수 있음에 감사해.,지금까지 열심히 살아온 결과인가봐요 부럽네요.
항상 나를 도와줘.,좋은 친구를 두셨네요.
이 기회에 아내와 운동을 다녀볼까 하는데 시간이 없어서 고민이야.,어떻게 하는 것이 지금 상황에서 고민을 벗어날 수 있을까요?
애들이 다 착하고 선생님도 좋으셔서 그럴일이 없어.,어떻게하면 이 좋은 관계를 유지할 수 있을까요?
우리 집 빚을 갚기 위해서 우리 가족 모두가 매달 서로 약속한 금액을 모으고 있거든.,가족 모두 약속한 금액을 모아서 빚을 갚고 있어서 기쁘시군요.
가게 위치가 좋아 권리금을 꽤 많이 받았어.,이 상황에서 어떻게 행동하실 건가요?
진영이가 날 자꾸 괴롭혔는데 선생님이 진영이를 잘 타일러주셨어.,선생님이 참 고마운 분이시네요.
은퇴 후 즐겁게 할 수 있는 일을 찾았어.,그런 일을 찾았다니 기쁘시겠어요.
엄청 노력을 많이했지.,그 노력이 결실을 맺었나봐요.
참석해 준 사람들에게 고맙다고 문자를 보냈어.,참석해 주신 분들도 기쁘실 거예요.
맞아 불안하다가도 같이 있으면 마음이 안정이 돼.,남자친구님과의 행복한 관계를 위해 어떻게 유지하는 편이세요?
건강에 좋으라고 좋은 꿀 두병을 보내줬어.,달달한 꿀 받고 기분 좋겠네요.
오랫동안 노력해왔는데 결실을 본 것 같아 정말 신이 나.,오랫동안의 노력의 결과를 축하드려요!
이제 곧 만난다니까 되게 흥분돼.,정말 귀여울 것 같아요.
훨씬 몸이 가벼워진 것 같은 기분이 들어.,병이 나았는데 어떤 점이 가장 좋으세요?
다음 주에 면접을 보고 난 후에 최종 합격이 결정돼.,면접을 잘 볼 수 있는 방법이 있을까요?
화가 나는 게 항상 연초에 업무 배분하실 때 과장님은 남들보다 나에게 일을 많이 줘서 화가 나.,남들보다 업무를 많이 맡으셔서 화가 나셨군요.
다음 주부터 회사에 출근해.,그럼 출근하시기 전에는 무엇을 하실 예정인가요?
부장님도 이번에 될거라고 몰래 말을해줘서 더욱더 기대가 되네.,이번에 꼭 진급이 되길 빌어요.
성적이 오른 것도 좋고 새 자전거 탈 생각만 해도 신이 나.,앞으로도 기분 좋은 일이 많이 생기시길 바랄게요.
큰 사고 없이 결혼식을 할 수 있을 것 같아서 너무 행복해.,큰 사고 없이 행복하게 결혼식 준비를 하시겠군요.
"재정적인 면, 은퇴 후의 삶, 노후 준비 문제까지 너무 긍정적으로 생각하고 있는 건 아닌지 하는 생각이 들어.",미래에 대해 너무 긍정적으로만 생각해 온 건 아닐까 고민되시나 봐요.
아이들과 아내가 내 건강을 챙겨줘서 나는 그냥 느긋하게 시키는 대로 하면 돼.,가족들이 신경을 많이 써주는군요.
우리 집에서는 웬만큼 큰일이 일어나지 않으면 큰 소리도 안 나서 좋거든.,가족들이 느긋한 성격이라 집 안이 평화로우신가 봐요.
다 친구들한테서 받은 거야.,막역한 친구가 많으신가 봐요.
한 친구가 말을 걸어주니 다른 친구들도 하나 둘 나를 챙겨주더라.,버팀목이 생겨 안심되시겠어요. 
집에서 멀어서 자취를 해야 할 지 고민이에요.,자취를 할지 고민이군요. 
스트레스가 이만저만이 아니었어.,이제는 좀 쉬시길 바라요.
하지만 이렇게 긴 휴가가 처음이라 잘 보낼 수 있을까 고민이 되네.,어떻게 보내는 것이 가장 좋은 방법일까요?
언니가 나랑 닮아서 조카도 나를 닮았어.,그렇다면 더 예쁘겠네요.
결혼할 생각이 원래는 없었는데 남자친구가 계속 신뢰를 줘,신뢰를 주지만 여전히 결혼은 고민이시군요. 
건강한 사람들은 참 부러워.,정말 건강이 최고의 자산인 것 같아요.
직장에서 직원들과의 관계도 행복해.,직장에서 좋은 일들이 많으시군요.
우리 가족들을 서로를 존중해주거든.,어떻게 존중하고 계신가요?
진로를 결정했어.,제가 항상 응원할게요.
모든 계획을 짜놨어.,정말 부러워요.
댄스 동아리에 들었는데 사람들이 좋아.,어떤 댄스 동아리에 가입하셨나요?
질환이 없는 내 건강 비결을 이야기 해주다가 그랬어.,친구분들이 건강비결을 경청 해주시길 꺼라 믿어요.
엄마가 아빠를 진심으로 아끼고 사랑하신다는 게 느껴졌거든.,부모님이 화목한 모습을 바라본다는 건 행복한 일이네요.
많이 준비했으니 좋은 결과가 있을꺼라고 기대하고 있어.,좋은 결과가 있기를 바래요.
오랜만에 보니 다들 잘 컸더라.,잘 커서 다행이네요.
그래서 요즘은 일이 좀 한가해.,당분간 마음 편히 일할 수 있다는 말씀이네요.
요즘 집안 분위기가 정말 좋아서 기분이 좋아.,화목한 가정환경이 민준님을 기쁘게 하는군요.
나랑 같은 병명인 사람이 죽은걸 확인하니까 과호흡이 올 정도로 어지러워.,같은 병때문에 죽은 사람을 보니까 불안하신거군요?
아이 때문에 오랫동안 외출을 하지 못했는데 배려해줘서 너무 고마워.,간만에 외출인데 무엇을 할 계획이세요?
성격도 시원시원하고 아주 똑똑한 거 같아.,그렇게 느끼신 이유가 있을까요?
나도 주위에게 좋은 사람이라고 느껴지도록 행동해야겠어.,주위 사람에 걸맞게 좋은 사람이 되려고 하시는군요.
내가 놓치는 부분들까지 꼼꼼하게 자기가 챙기더라고.,남자친구분이 든든하시군요.
건강도 재정도 좋아서 여행을 많이 다니거든.,누구라도 부러워할 거 같아요.
그 덕분에 나는 나 자신을 절대적으로 바라보고 존중하는 사람이 될 수 있었어.,부모님을 통해 좋은 점을 배울 수 있어서 좋으시겠어요.
관절이 약해져서 병원 갔는데 걷기와 유산소 운동을 꾸준히 하면 된다네.,그래도 다행이네요.
부모님이 내가 가지고 싶어 했던 물건을 선물로 주셨어.,정말 축하해요.
아들과 아내는 가끔 덤벙거리는 경우가 있어.,다음에 이런 일이 없으려면 어떻게 해야 할까요?
손목이 조금 불편하지만 기분만큼은 좋아.,기분이 좋으셔서 다행이에요.
더 이상은 못참겠어서 선생님에게 말씀 드렸거든요,혹시 오랜기간 괴롭힘을 당하신건가요?
한번 무섭게 혼을 내야 시간을 잘 지킬 것 같아.,혼을 내야 시간 약속을 잘 지키는군요.
만성질환 때문에 걱정했는데 관리도 잘하면 된다고 해서 안도했어.,어떻게 하면 더 건강하게 살 수 있을까요?
모두가 노력하고 화목하기 때문이야.,앞으로도 화목한 가정이 되시길 바랄깨요.
이 행복이 계속됐으면 좋겠어.,건강을 유지하려면 어떻게 해야 할까요?
선생님이 이번에 학교폭력 관련한 일을 잘 처리해 주셨거든.,일 처리가 잘 되어서 다행이에요.
수험생인데도 흔들리지 않고 평온하고 성실하게 공부하니까 최근 모의고사 점수가 부쩍 올랐어.,아들의 꾸준한 노력에 결과도 좋다니 더할 나위 없이 행복하실 것 같아요.
나만한 사람 없다고들 하지.,기념으로 파티하시는 건 어떠세요?
수술이 잘 안 돼 이전처럼 못 걸을까봐 걱정했거든.,이제부터는 어떻게 하실 건가요?
집에 들어와보니 부모님께서 화해하신 것 같아.,부모님의 표정이 좋아보이던가요?
무슨 일 있으셨나요?,그냥 별건 아니고 요즘 직장 생활이 쉽지 않구나 생각이 들어서 아버지께서 참 고생 많으셨겠구나 해서.
다른 건 몰라도 공부를 하다 보면 지식도 생기고 어떤 일을 하고 싶을지 생각날 거 같아.,뭐가 좋으세요?
오늘 결과가 나왔는데 화나.,건강이 안 좋아서 흥분하셨나봐요.
꾸준함이라고 생각해.,정말 멋지시네요.
만성질환때문에 쓰러졌을때 병원에 와서 간호해준것도 그 친구거든.,그 친구분을 위해 어떻게 감사를 표하셨나요?
이번에 상을 받은게 나중에 수시를 준비할 때 큰 힘이 될 것 같아.,정말 그렇겠네요 다시 한번 축하드려요.
딸에게 신뢰하고 있다고 잘하고 있다고 말해주고 싶어.,어떻게 하면 딸이 믿음을 알 수 있을까요?
이런 도시에 이런 경치를 가지고 있는 동네가 있다니 너무 기뻐.,이런 감정을 어떻게 하면 계속 유지할 수 있을까요?
지금처럼 아픈곳 없이 아름답게 죽을 수 있었으면 좋겠어.,그것이 바람인가요.
봄이 오면 집 밖에 나오기가 힘든데 그전에 무엇을 하면 좋을까?,어떤 것을 하면 좋을까요?
